tournament,gameId,team,win,prox_score_1-5,prox_score_5-10,prox_score_10-15,prox_score_15-20,prox_score_20-25,prox_score_25-30,prox_score_30-35,prox_score_35-40,prox_score_40-45,prox_score_45-50,prox_score_50-55,prox_score_55-60,prox_score_60-65,prox_score_65-70,prox_score_70-75,prox_score_75-80,prox_score_80-85,prox_score_85-90,prox_score_90-95,prox_score_95-100,prox_score_100-105,prox_score_105-110,prox_score_110-115,prox_score_115-120
lck_spring_2023,ESPORTSTMNT04:2659018,100,1,1.6521739130434785,2.103333333333333,2.4,3.036666666666666,2.373333333333333,3.286666666666666,3.653061224489796,,,,,,,,,,,,,,,,,
lck_spring_2023,ESPORTSTMNT04:2659018,200,0,2.1913043478260867,1.0266666666666666,1.67,1.403333333333333,2.4366666666666665,2.6666666666666665,3.188775510204082,,,,,,,,,,,,,,,,,
lck_spring_2023,ESPORTSTMNT04:2661035,100,1,2.151898734177215,1.8433333333333333,1.8866666666666667,1.41,3.3766666666666665,2.83,2.763333333333333,2.5559322033898306,,,,,,,,,,,,,,,,
lck_spring_2023,ESPORTSTMNT04:2661035,200,0,3.392405063291139,2.24,2.3133333333333335,2.36,3.49,3.4233333333333333,3.1166666666666667,3.457627118644068,,,,,,,,,,,,,,,,
lck_spring_2023,ESPORTSTMNT03:3098196,200,1,3.6,2.1133333333333333,2.73,2.433333333333333,2.93,3.4433333333333334,3.791970802919708,,,,,,,,,,,,,,,,,
lck_spring_2023,ESPORTSTMNT03:3098196,100,0,2.13125,1.92,2.4366666666666665,2.93,2.8633333333333333,3.9833333333333334,3.0291970802919708,,,,,,,,,,,,,,,,,
lck_spring_2023,ESPORTSTMNT03:3099119,200,1,2.934131736526946,1.9333333333333333,2.04,3.223333333333333,3.716666666666667,3.593984962406015,,,,,,,,,,,,,,,,,,
lck_spring_2023,ESPORTSTMNT03:3099119,100,0,2.0239520958083834,2.006666666666667,2.243333333333333,2.8733333333333335,2.98,3.6654135338345863,,,,,,,,,,,,,,,,,,
lck_spring_2023,ESPORTSTMNT03:3098225,200,1,2.619047619047619,1.8666666666666667,3.2333333333333334,2.6333333333333333,3.2933333333333334,4.881720430107527,,,,,,,,,,,,,,,,,,
lck_spring_2023,ESPORTSTMNT03:3098225,100,0,2.212121212121212,2.13,2.966666666666667,3.42,2.5933333333333333,3.878136200716846,,,,,,,,,,,,,,,,,,
lck_spring_2023,ESPORTSTMNT04:2664153,100,1,2.236220472440945,2.1533333333333333,2.8766666666666665,2.8633333333333333,3.026666666666667,3.4466666666666668,3.8076923076923075,,,,,,,,,,,,,,,,,
lck_spring_2023,ESPORTSTMNT04:2664153,200,0,2.161417322834646,2.4366666666666665,2.3933333333333335,2.1266666666666665,3.25,3.6733333333333333,3.480769230769231,,,,,,,,,,,,,,,,,
lck_spring_2023,ESPORTSTMNT04:2663182,200,1,1.809090909090909,0.6053511705685619,1.6046511627906976,1.99,2.0833333333333335,2.7333333333333334,2.6825396825396823,,,,,,,,,,,,,,,,,
lck_spring_2023,ESPORTSTMNT04:2663182,100,0,2.4045454545454548,2.3076923076923075,2.39202657807309,2.91,3.2333333333333334,3.91,5.238095238095238,,,,,,,,,,,,,,,,,
lck_spring_2023,ESPORTSTMNT03:3100826,200,1,2.9183673469387754,1.8533333333333333,2.0866666666666664,2.3666666666666667,2.6133333333333333,3.716666666666667,3.87,4.18,5.086956521739131,,,,,,,,,,,,,,,
lck_spring_2023,ESPORTSTMNT03:3100826,100,0,2.4149659863945576,2.4433333333333334,1.9166666666666667,2.58,2.72,3.5866666666666664,2.8733333333333335,3.9266666666666667,2.9565217391304346,,,,,,,,,,,,,,,
lck_spring_2023,ESPORTSTMNT03:3100863,200,1,3.024193548387097,1.6466666666666667,1.6066666666666667,2.8233333333333333,3.6733333333333333,5.177777777777778,,,,,,,,,,,,,,,,,,
lck_spring_2023,ESPORTSTMNT03:3100863,100,0,2.774193548387097,1.54,1.6866666666666668,2.5766666666666667,4.1433333333333335,5.0,,,,,,,,,,,,,,,,,,
lck_spring_2023,ESPORTSTMNT03:3098932,100,1,2.164705882352941,2.236666666666667,2.1,2.8733333333333335,2.5366666666666666,2.73,3.48,4.526666666666666,4.15625,,,,,,,,,,,,,,,
lck_spring_2023,ESPORTSTMNT03:3098932,200,0,4.423529411764706,1.6966666666666668,1.86,2.1033333333333335,3.0933333333333333,4.07,4.093333333333334,4.453333333333333,3.4895833333333335,,,,,,,,,,,,,,,
lck_spring_2023,ESPORTSTMNT02:3148631,200,1,3.2298850574712645,2.0933333333333333,2.486666666666667,2.8766666666666665,3.57,3.1,2.4444444444444446,,,,,,,,,,,,,,,,,
lck_spring_2023,ESPORTSTMNT02:3148631,100,0,2.1149425287356323,2.15,2.12,2.9966666666666666,3.44,4.293333333333333,4.0,,,,,,,,,,,,,,,,,
lck_spring_2023,ESPORTSTMNT02:3150633,100,1,2.253731343283582,2.493333333333333,2.783333333333333,1.82,2.1033333333333335,2.9433333333333334,3.6755725190839694,,,,,,,,,,,,,,,,,
lck_spring_2023,ESPORTSTMNT02:3150633,200,0,3.1492537313432836,2.11,2.473333333333333,3.56,3.44,3.0,4.083969465648855,,,,,,,,,,,,,,,,,
lck_spring_2023,ESPORTSTMNT03:3092604,200,1,3.9156626506024095,2.4133333333333336,2.243333333333333,3.05,2.8833333333333333,2.53,3.5766666666666667,5.156666666666666,3.2535211267605635,,,,,,,,,,,,,,,
lck_spring_2023,ESPORTSTMNT03:3092604,100,0,2.9578313253012047,2.33,1.9466666666666668,2.5,2.9066666666666667,3.7533333333333334,4.263333333333334,3.63,4.264084507042254,,,,,,,,,,,,,,,
