tournament,gameId,team,win,prox_score_1-5,prox_score_5-10,prox_score_10-15,prox_score_15-20,prox_score_20-25,prox_score_25-30,prox_score_30-35,prox_score_35-40,prox_score_40-45,prox_score_45-50,prox_score_50-55,prox_score_55-60,prox_score_60-65,prox_score_65-70,prox_score_70-75,prox_score_75-80,prox_score_80-85,prox_score_85-90,prox_score_90-95,prox_score_95-100,prox_score_100-105,prox_score_105-110,prox_score_110-115,prox_score_115-120,proximity_sum
tcl_summer_2021,ESPORTSTMNT04:1810905,200,1,3.7241379310344827,2.7235494880546076,2.57679180887372,2.95221843003413,2.83617747440273,2.6245733788395906,4.761092150170649,8.857142857142858,,,,,,,,,,,,,,,,,31.055683518552765
tcl_summer_2021,ESPORTSTMNT04:1810905,100,0,3.103448275862069,2.174061433447099,2.5494880546075085,3.1911262798634814,3.6587030716723548,3.3003412969283277,4.26962457337884,5.0,,,,,,,,,,,,,,,,,27.246792985759683
tcl_summer_2021,ESPORTSTMNT04:1800435,100,1,0.0,2.1485148514851486,2.0409556313993176,2.348122866894198,2.1986301369863015,3.590443686006826,2.57679180887372,3.6723549488054608,4.180887372013652,4.466292134831461,,,,,,,,,,,,,,,27.22299343729609
tcl_summer_2021,ESPORTSTMNT04:1800435,200,0,0.0,2.272277227722772,1.6962457337883958,2.464163822525597,2.9452054794520546,3.4880546075085324,3.2354948805460753,3.781569965870307,4.017064846416382,4.123595505617978,,,,,,,,,,,,,,,28.023672069448093
tcl_summer_2021,ESPORTSTMNT04:1800367,200,1,4.571428571428571,1.969283276450512,2.2013651877133107,2.52901023890785,2.7645051194539247,3.04778156996587,3.580246913580247,,,,,,,,,,,,,,,,,,20.663620877500286
tcl_summer_2021,ESPORTSTMNT04:1800367,100,0,2.4761904761904763,2.6484641638225255,2.324232081911263,2.279863481228669,3.7713310580204777,3.5597269624573378,3.4135802469135803,,,,,,,,,,,,,,,,,,20.47338847054433
tcl_summer_2021,ESPORTSTMNT05:1971370,200,1,3.077319587628866,2.508532423208191,2.6484641638225255,3.621160409556314,3.3595890410958904,3.580204778156997,3.5375,,,,,,,,,,,,,,,,,,22.332770403468786
tcl_summer_2021,ESPORTSTMNT05:1971370,100,0,2.922680412371134,2.6689419795221845,2.3754266211604094,3.21160409556314,2.5616438356164384,4.15358361774744,4.1125,,,,,,,,,,,,,,,,,,22.006380561980745
tcl_summer_2021,ESPORTSTMNT06:1830936,100,1,2.342245989304813,2.1160409556313993,2.573378839590444,3.16382252559727,3.2525597269624575,2.6177474402730376,5.935779816513762,,,,,,,,,,,,,,,,,,22.001575293873184
tcl_summer_2021,ESPORTSTMNT06:1830936,200,0,2.5828877005347595,2.006825938566553,2.522184300341297,3.3890784982935154,3.6860068259385668,4.402730375426621,3.761467889908257,,,,,,,,,,,,,,,,,,22.35118152900957
tcl_summer_2021,ESPORTSTMNT05:2060846,100,1,2.533333333333333,2.5793650793650795,1.9658703071672354,2.8742138364779874,1.8088737201365188,3.1194539249146755,4.695652173913044,,,,,,,,,,,,,,,,,,19.576762375307872
tcl_summer_2021,ESPORTSTMNT05:2060846,200,0,4.866666666666666,2.130952380952381,1.870307167235495,3.0251572327044025,2.4402730375426622,3.150170648464164,4.27536231884058,,,,,,,,,,,,,,,,,,21.75888945240635
tcl_summer_2021,ESPORTSTMNT06:1840933,100,1,2.3375,2.242320819112628,2.1160409556313993,1.9351535836177474,2.84641638225256,4.491467576791809,4.341296928327645,4.870307167235495,6.794871794871795,,,,,,,,,,,,,,,,31.97537520784108
tcl_summer_2021,ESPORTSTMNT06:1840933,200,0,3.2375,1.2901023890784984,2.204778156996587,2.204778156996587,3.385665529010239,4.69283276450512,4.078498293515358,4.368600682593857,3.7435897435897436,,,,,,,,,,,,,,,,29.206345716285995
tcl_summer_2021,ESPORTSTMNT05:2060404,200,1,2.845528455284553,1.2981132075471697,2.4423076923076925,2.416382252559727,3.6198630136986303,3.8156996587030716,4.361111111111111,,,,,,,,,,,,,,,,,,20.799005391211956
tcl_summer_2021,ESPORTSTMNT05:2060404,100,0,2.154471544715447,2.728301886792453,2.7435897435897436,2.5597269624573378,3.1575342465753424,3.3276450511945392,4.0092592592592595,,,,,,,,,,,,,,,,,,20.680528694584122
tcl_summer_2021,ESPORTSTMNT05:2060462,100,1,0.0,2.1260162601626016,2.136518771331058,3.04778156996587,2.358361774744027,1.9556313993174061,3.6815068493150687,4.737373737373737,,,,,,,,,,,,,,,,,20.04319036220977
tcl_summer_2021,ESPORTSTMNT05:2060462,200,0,4.666666666666667,2.772357723577236,2.1160409556313993,2.1160409556313993,2.160409556313993,3.2969283276450514,3.585616438356164,3.393939393939394,,,,,,,,,,,,,,,,,24.108000017761306
tcl_summer_2021,ESPORTSTMNT06:1880357,100,1,0.0,1.96484375,2.197952218430034,2.2969283276450514,2.856164383561644,3.2218430034129693,3.7958115183246073,,,,,,,,,,,,,,,,,,16.333543201374308
tcl_summer_2021,ESPORTSTMNT06:1880357,200,0,0.0,2.375,2.051194539249147,2.054607508532423,2.7705479452054793,2.7849829351535837,3.413612565445026,,,,,,,,,,,,,,,,,,15.44994549358566
tcl_summer_2021,ESPORTSTMNT06:1880257,200,1,0.0,2.054607508532423,1.546075085324232,1.8088737201365188,3.061433447098976,3.2764505119453924,4.238907849829351,4.624573378839591,6.2105263157894735,,,,,,,,,,,,,,,,26.821447817495958
tcl_summer_2021,ESPORTSTMNT06:1880257,100,0,0.0,1.9078498293515358,1.6109215017064846,2.689419795221843,3.627986348122867,3.2013651877133107,3.8122866894197953,3.7918088737201363,2.0,,,,,,,,,,,,,,,,22.64163822525597
tcl_summer_2021,ESPORTSTMNT06:1880544,100,1,2.909090909090909,2.7849829351535837,2.0821917808219177,3.0853242320819114,2.3447098976109215,3.36518771331058,4.498293515358362,3.8595890410958904,4.151079136690647,,,,,,,,,,,,,,,,29.080449161214723
tcl_summer_2021,ESPORTSTMNT06:1880544,200,0,4.878787878787879,1.8395904436860069,2.106164383561644,1.9283276450511946,2.0750853242320817,3.013651877133106,2.6723549488054608,3.5273972602739727,3.064748201438849,,,,,,,,,,,,,,,,25.106107962970192
tcl_summer_2021,ESPORTSTMNT05:2060895,100,1,3.5869565217391304,1.4982935153583619,1.9657534246575343,2.9044368600682593,2.6860068259385668,3.218430034129693,3.279863481228669,4.87037037037037,,,,,,,,,,,,,,,,,24.010111033490585
tcl_summer_2021,ESPORTSTMNT05:2060895,200,0,5.1521739130434785,1.757679180887372,1.976027397260274,1.9385665529010239,2.5529010238907848,3.136518771331058,4.290102389078498,4.472222222222222,,,,,,,,,,,,,,,,,25.27619145061471
tcl_summer_2021,ESPORTSTMNT05:2060467,100,1,2.558333333333333,2.030716723549488,2.6267123287671232,1.795221843003413,3.255972696245734,3.7781569965870307,3.0034246575342465,4.0,4.127340823970037,,,,,,,,,,,,,,,,27.175879402990404
tcl_summer_2021,ESPORTSTMNT05:2060467,200,0,3.1333333333333333,1.9965870307167235,2.047945205479452,2.279863481228669,3.030716723549488,3.5017064846416384,4.465753424657534,3.8976109215017063,4.00374531835206,,,,,,,,,,,,,,,,28.357261923460605
tcl_summer_2021,ESPORTSTMNT06:1840614,100,1,0.0,1.7849829351535835,1.8225255972696246,2.0648464163822524,3.0716723549488054,3.1023890784982937,4.034129692832765,4.656108597285068,,,,,,,,,,,,,,,,,20.536654672370393
tcl_summer_2021,ESPORTSTMNT06:1840614,200,0,0.0,2.7098976109215016,2.361774744027304,2.358361774744027,2.9829351535836177,3.467576791808874,4.085324232081911,4.072398190045249,,,,,,,,,,,,,,,,,22.038268497212485
tcl_summer_2021,ESPORTSTMNT05:1971416,100,1,1.9382716049382716,2.174061433447099,2.583617747440273,2.0887372013651877,3.6006825938566553,2.9112627986348123,4.501706484641638,4.181506849315069,4.155893536121673,,,,,,,,,,,,,,,,28.13574024976068
tcl_summer_2021,ESPORTSTMNT05:1971416,200,0,3.8271604938271606,2.645051194539249,2.6177474402730376,2.0955631399317407,3.368600682593857,4.225255972696246,4.1058020477815695,3.9383561643835616,4.406844106463878,,,,,,,,,,,,,,,,31.230381242490303
tcl_summer_2021,ESPORTSTMNT05:2060395,100,1,2.281045751633987,2.5597269624573378,2.3412969283276452,3.0046296296296298,2.7629310344827585,3.0750853242320817,3.7610921501706485,4.003412969283277,4.098976109215017,4.482758620689655,,,,,,,,,,,,,,,32.370955480122035
