gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,participantid,side,position,playername,playerid,teamname,teamid,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,chemtechs,hextechs,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,turretplates,opp_turretplates,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,damagetakenperminute,damagemitigatedperminute,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,champ1,champ2,champ3,champ4,champ5
TRLH3/33,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH3/33?gameHash=c45903c6a89a7f70,EU LCS,2014,Spring,0,2014-01-14 17:52:02,1,3.15,100,Blue,team,,,Fnatic,oe:team:78f183fa5a7d8ecb22b9ad272c3abd7,,105.0,61.0,153.0,,,1924,1,21,5,58,21,5,6,2,0,0,1,,,,0.6549,0.8108,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,,1.0,1.0,0.0,1.0,10.0,1.0,1.0,1.0,,,2,0,73848,2302.9522,,2496.4553,0.0,81,2.526,6,0.1871,4,0,0.0,59431,39633,1235.9563,,40100,0.0827112,,741,152,137,15,27.8482,13851,17193,245,13970,17656,249,-119,-463,-4,4,6,3,3,3,4,22618,30237,435,21346,30174,458,1272,63,-23,5,7,3,3,3,5,132,143,91,50,7
TRLH3/33,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH3/33?gameHash=c45903c6a89a7f70,EU LCS,2014,Spring,0,2014-01-14 17:52:02,1,3.15,200,Red,team,,,Gambit Gaming,oe:team:3e18c32708da93cf6bdbd1d20b76731,,56.0,86.0,27.0,,,1924,0,5,21,8,5,21,0,0,0,0,0,,,,0.1559,0.8108,1.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,,0.0,0.0,1.0,0.0,1.0,10.0,0.0,0.0,,,0,2,54372,1695.5925,,3373.9709,0.0,66,2.0582,13,0.4054,2,0,0.0,45225,25427,792.9418,,36915,-0.0827112,,739,173,144,29,28.4407,13970,17656,249,13851,17193,245,119,463,4,3,3,4,4,6,3,21346,30174,458,22618,30237,435,-1272,-63,23,3,3,5,5,7,3,24,115,65,70,130
TRLH3/44,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH3/44?gameHash=fbc64f032b61b97a,EU LCS,2014,Spring,0,2014-01-14 19:16:29,1,3.15,100,Blue,team,,,Copenhagen Wolves,oe:team:6d92c120d5550d72128830b0a4df0f8,,66.0,7.0,153.0,,,2474,1,14,9,39,14,9,1,0,0,0,0,,,,0.3395,0.5578,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,,1.0,1.0,0.0,0.0,10.0,4.0,1.0,1.0,,,1,0,96967,2351.6653,,2780.7357,0.0,96,2.3282,16,0.388,7,0,0.0,70851,45828,1111.4309,,48723,0.225353,,880,200,166,34,26.1924,13792,18711,263,13971,19169,256,-179,-458,7,3,3,4,4,5,3,21194,29442,440,22343,30275,439,-1149,-833,1,3,3,5,5,7,3,115,27,58,70,71
TRLH3/44,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH3/44?gameHash=fbc64f032b61b97a,EU LCS,2014,Spring,0,2014-01-14 19:16:29,1,3.15,200,Red,team,,,Alliance,oe:team:05bd29b524f0851d42e7902d6af59bf,,56.0,61.0,160.0,,,2474,0,9,14,16,9,14,0,0,0,0,1,,,,0.2183,0.5578,1.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,,0.0,0.0,1.0,1.0,4.0,10.0,0.0,0.0,,,0,1,82781,2007.6233,,2986.734,0.0,91,2.207,14,0.3395,10,0,0.0,54724,29701,720.3153,,38855,-0.225353,,877,165,158,7,25.2708,13971,19169,256,13792,18711,263,179,458,-7,4,5,3,3,3,4,22343,30275,439,21194,29442,440,1149,833,-1,5,7,3,3,3,5,103,143,37,17,130
TRLH3/76,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH3/76?gameHash=fdae41209fb2d1ec,EU LCS,2014,Spring,0,2014-01-14 21:28:45,1,3.15,200,Red,team,,,Fnatic,oe:team:78f183fa5a7d8ecb22b9ad272c3abd7,,153.0,27.0,65.0,,,2629,1,15,8,30,15,8,1,0,0,0,1,,,,0.3423,0.5249,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,,1.0,1.0,0.0,0.0,8.0,4.0,0.0,0.0,,,3,0,93558,2135.2149,,2529.4941,0.0,126,2.8756,30,0.6847,4,0,0.0,72523,46028,1050.4679,,50060,0.138174,,1094,221,203,18,30.0114,13076,17543,269,13923,18814,291,-847,-1271,-22,1,1,0,0,0,1,19680,28522,434,22057,30901,489,-2377,-2379,-55,2,4,2,2,3,2,103,143,160,50,67
TRLH3/76,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH3/76?gameHash=fdae41209fb2d1ec,EU LCS,2014,Spring,0,2014-01-14 21:28:45,1,3.15,100,Blue,team,,,Alliance,oe:team:05bd29b524f0851d42e7902d6af59bf,,56.0,7.0,91.0,,,2629,0,8,15,17,8,15,1,0,0,0,0,,,,0.1826,0.5249,1.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,,0.0,0.0,1.0,1.0,4.0,8.0,1.0,1.0,,,0,3,81146,1851.9437,,3122.6702,0.0,119,2.7159,25,0.5706,7,0,0.0,64885,38390,876.1506,,43590,-0.138174,,1035,197,158,39,28.1172,13923,18814,291,13076,17543,269,847,1271,22,0,0,1,1,1,0,22057,30901,489,19680,28522,434,2377,2379,55,2,3,2,2,4,2,115,66,37,139,130
TRLH3/85,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH3/85?gameHash=aef2ff303f049dd0,EU LCS,2014,Spring,0,2014-01-14 22:37:18,1,3.15,100,Blue,team,,,Gambit Gaming,oe:team:3e18c32708da93cf6bdbd1d20b76731,,58.0,7.0,27.0,,,1837,1,25,6,52,25,6,1,1,1,0,0,,,,0.8165,1.0125,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,,1.0,2.0,0.0,1.0,10.0,3.0,0.0,0.0,,,1,0,72282,2360.871,,3806.4888,0.0,77,2.515,5,0.1633,2,0,0.0,64034,45063,1471.8454,,35657,0.138832,,763,197,140,57,31.3555,13390,18731,289,14087,18130,287,-697,601,2,2,2,1,1,1,2,20544,31670,482,20517,29444,457,27,2226,25,4,2,1,1,1,4,148,66,61,50,60
TRLH3/85,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH3/85?gameHash=aef2ff303f049dd0,EU LCS,2014,Spring,0,2014-01-14 22:37:18,1,3.15,200,Red,team,,,Copenhagen Wolves,oe:team:6d92c120d5550d72128830b0a4df0f8,,24.0,153.0,56.0,,,1837,0,6,25,10,6,25,0,0,0,0,1,,,,0.196,1.0125,1.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,,0.0,0.0,2.0,0.0,3.0,10.0,1.0,1.0,,,0,1,68937,2251.6168,,3024.6598,0.0,62,2.025,9,0.294,7,0,0.0,42140,23169,756.7447,,31028,-0.138832,,662,127,119,8,25.7703,14087,18130,287,13390,18731,289,697,-601,-2,1,1,2,2,2,1,20517,29444,457,20544,31670,482,-27,-2226,-25,1,1,4,4,2,1,115,90,163,70,71
TRLH3/10072,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH3/10072?gameHash=0a8028688c6751af,EU LCS,2014,Spring,0,2014-01-14 23:48:12,1,3.15,200,Red,team,,,Millenium,oe:team:d946eb399b263986b81fad7203186fa,,28.0,27.0,24.0,,,3043,1,27,10,54,27,10,2,0,0,0,1,,,,0.5324,0.7295,1.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,,1.0,2.0,0.0,0.0,10.0,3.0,0.0,1.0,,,4,0,130334,2569.8455,,3427.5518,0.0,103,2.0309,34,0.6704,9,0,0.0,89531,59103,1165.3566,,63453,0.201204,,1121,170,133,37,25.4551,12808,17255,265,12679,16511,250,129,744,15,0,0,0,0,0,0,20891,28782,419,19072,26651,407,1819,2131,12,3,3,1,1,0,3,103,143,65,29,7
TRLH3/10072,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH3/10072?gameHash=0a8028688c6751af,EU LCS,2014,Spring,0,2014-01-14 23:48:12,1,3.15,100,Blue,team,,,SK Gaming,oe:team:75760dca486d4682426196b76bd1a54,,37.0,153.0,105.0,,,3043,0,10,27,23,10,27,2,0,0,0,0,,,,0.1972,0.7295,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,,0.0,0.0,2.0,1.0,3.0,10.0,1.0,0.0,,,0,4,125997,2484.3313,,3244.397,0.0,130,2.5633,21,0.4141,11,0,0.0,66665,36237,714.4988,,51853,-0.201204,,1071,198,167,31,25.0214,12679,16511,250,12808,17255,265,-129,-744,-15,0,0,0,0,0,0,19072,26651,407,20891,28782,419,-1819,-2131,-12,1,0,3,3,3,1,115,66,160,70,67
